name, age, birthday, gender
Laura Dunn,49,5/6/1987,Female
Don Cross,19,10/2/1994,Male
Luke Bennett,59,6/29/1975,Female
Amanda West,55,9/13/1959,Male
Norman Joseph,47,6/16/1975,Male
Rosa Harper,19,9/1/1964,Male
Louise Ward,31,4/1/1979,Female
Rhoda Cruz,41,5/28/1981,Male
Myrtle Washington,47,3/31/1971,Female
Lewis Gutierrez,43,7/24/2002,Female
Nicholas Lee,38,12/20/1999,Male
Lida Knight,37,1/1/1988,Female
Clayton Wilkins,18,4/6/1991,Male
Helena Becker,51,5/14/2000,Female
Abbie McCarthy,63,3/15/2002,Male
Keith Ball,23,1/9/1992,Male
Mathilda Hale,60,2/20/1994,Male
Delia Mullins,43,3/18/1997,Male
Francisco Bell,41,9/1/1961,Male
Esther Harrington,20,10/21/1984,Female
Olive Fowler,37,3/26/1963,Female
Lenora Stone,36,2/27/1980,Male
Mamie Burton,56,11/19/1979,Female
Vera McKinney,24,3/19/1988,Female
Catherine Fernandez,47,2/4/1984,Female
Lora Matthews,37,9/17/1985,Female
Blanche Lindsey,50,11/16/1966,Female
Gerald Webb,51,6/13/1964,Female
Phillip Hicks,61,4/21/1969,Female
Dean Schwartz,34,6/28/1996,Female
Bradley Watson,24,8/27/1995,Male
Edward Lane,47,5/4/1999,Female
Alan Herrera,64,12/2/1988,Male
Lester McLaughlin,57,4/17/2003,Female
Luke Klein,28,8/18/1973,Female
Daisy Doyle,25,9/18/1979,Male
Tillie Armstrong,31,1/17/1973,Male
Sue Gonzales,56,2/16/1988,Male
Chester Blair,54,5/25/1996,Female
Bernard Johnston,62,6/9/1961,Male
Madge McDaniel,38,5/1/1966,Male
Chester Montgomery,41,6/25/1957,Female
Marguerite Dixon,42,5/14/1963,Male
Brent Simmons,18,5/5/1965,Female
Luke Robinson,40,3/30/1969,Female
Bernard Freeman,20,10/2/1996,Male
Birdie Paul,39,9/18/1992,Male
Howard Smith,51,3/28/1991,Male
Cynthia Ramsey,34,5/28/1986,Female
Grace Tucker,25,11/11/1985,Female
Aaron Barnes,65,8/20/1957,Female
Mabel Townsend,41,1/25/1981,Female
Ophelia Obrien,58,2/1/1984,Male
Samuel Wallace,30,7/19/1956,Male
Vernon Maldonado,26,8/17/1966,Female
Nina Dawson,37,6/27/1956,Female
Mario Pearson,63,12/5/1983,Male
Herbert Wilkerson,53,11/8/2001,Male
Virgie Osborne,26,8/15/1977,Male
Jesus Ramsey,53,1/31/2003,Female
Carolyn Hines,43,1/16/1962,Female
Jay Reid,27,10/24/1964,Male
Cecilia Wood,60,1/29/1964,Male
Nathaniel Harrington,53,4/20/1965,Female
Sophie Brown,18,7/6/1958,Male
Phoebe Curtis,43,8/2/1971,Male
Jane George,43,3/31/1994,Male
Leonard Russell,30,10/30/1983,Female
Francis Castillo,33,1/31/1996,Female
Stanley Weaver,49,11/4/1980,Female
Stephen George,47,9/17/1971,Male
Chase Moody,48,8/7/1977,Female
Cora Sutton,44,7/9/1998,Male
Leo Zimmerman,25,2/7/1999,Male
Sally Duncan,53,6/18/1986,Female
Tom Turner,35,1/30/1966,Male
Elsie Baker,44,6/30/1974,Female
Mabel Moreno,53,9/4/2002,Male
Christopher Norris,18,10/30/1984,Male
Jose Campbell,38,5/2/1971,Female
Sam Owens,27,1/11/1992,Female
Clara Morgan,60,3/2/2000,Male
Hulda Montgomery,49,4/20/1989,Female
Andre Osborne,51,11/28/1998,Female
Wayne Munoz,37,9/10/1994,Male
Alma Lowe,29,1/14/1959,Female
Isaac Schwartz,53,9/13/1963,Female
Jorge Anderson,30,6/29/1970,Female
Franklin Bass,44,10/7/1975,Female
Jesus Gibbs,41,3/17/1978,Female
Nicholas Vasquez,34,3/1/1958,Female
Mina Wagner,24,3/28/1984,Male
Belle Fitzgerald,43,1/26/1990,Male
Wayne Beck,25,4/14/1972,Male
Madge Wallace,43,7/7/1970,Male
Juan Cortez,41,12/19/2000,Female
Mary McKinney,42,10/23/1977,Female
Amy Meyer,51,11/29/1986,Female
Cecilia Taylor,23,6/16/1970,Female
Mae Carroll,41,4/10/1963,Male
Mabel Lawson,59,1/13/2001,Female
Sarah Douglas,25,12/2/1960,Male
Lora McCarthy,31,7/9/2001,Female
Elizabeth Ortiz,50,10/27/2000,Female
Hester George,28,5/29/1994,Female
Callie Conner,34,6/7/1983,Male
Lela Warner,58,8/10/1998,Female
Aaron Singleton,44,5/7/1997,Female
Glen Todd,32,2/5/2000,Female
Jennie Morris,48,10/8/1964,Female
Alfred Fox,44,12/29/1987,Female
Paul Palmer,20,12/2/1962,Female
Emily Gross,24,6/2/1969,Male
Estella Rhodes,41,3/30/1992,Female
Lucas McGee,42,2/20/1990,Female
Helena Soto,26,11/11/1992,Male
Alta Harrington,39,10/3/1992,Female
Henrietta Watkins,21,3/10/1990,Male
Florence Bowen,57,3/2/2003,Female
Abbie Rice,45,1/18/1994,Male
Marie Hopkins,39,10/10/1976,Female
Julia French,29,7/18/1960,Male
Ollie Cannon,27,1/31/2002,Female
Trevor Leonard,42,8/4/1976,Male
Russell Weber,39,8/7/1959,Male
Tom Morris,45,5/29/1984,Male
Bess Hernandez,25,4/12/1982,Female
Estella Young,31,10/30/1983,Male
Addie McLaughlin,51,11/1/1956,Male
Ethel Parks,21,2/14/1978,Male
Frederick McBride,27,4/29/1974,Male
Ryan Lynch,54,10/30/1980,Female
Cecilia Dunn,52,1/30/1976,Female
Frances Watkins,29,8/1/1990,Female
Lottie Burton,64,9/12/1962,Female
Jeffrey Reed,36,7/26/1990,Male
Nicholas Bass,63,7/29/1984,Male
Sean Estrada,18,4/16/1999,Male
Mina Yates,36,10/2/1983,Male
Antonio Larson,21,9/29/1961,Female
Maggie Casey,57,6/28/1990,Male
Clifford Tyler,42,10/9/1976,Female
Rosalie Welch,53,8/20/1956,Female
Brent Daniels,49,2/11/1982,Male
Lottie Sanchez,59,12/31/1967,Male
Jay Warren,59,10/16/1958,Male
Esther Moore,58,7/18/1988,Male
Sarah Tucker,45,9/3/1957,Male
Alma Jefferson,18,6/10/1961,Male
Gussie McBride,22,4/30/1962,Male
Luke Coleman,26,2/17/1984,Male
Philip Larson,47,1/14/1998,Male
Bradley Hubbard,63,4/19/1970,Male
Christina Marsh,32,2/7/1998,Female
Lee Austin,64,12/28/1991,Female
Jeffery McDaniel,44,6/30/1968,Female
Clarence Curtis,52,12/1/1981,Male
Cornelia Phillips,33,10/20/1968,Female
Sally Allen,18,8/27/1981,Male
Susie Wilkerson,58,11/14/1988,Male
Mario Wilson,47,4/16/2001,Male
Sadie James,31,4/7/1956,Female
Sylvia Logan,52,1/27/1996,Male
Ray Martinez,23,10/2/2002,Female
Ethan Logan,64,8/13/1992,Male
Tillie Kelly,51,7/11/1982,Male
Marvin Vargas,59,2/7/1981,Female
Todd Welch,39,9/16/2002,Male
Effie Arnold,29,9/3/1989,Female
Rose Hawkins,55,1/18/1967,Male
Sara Peterson,64,4/8/1993,Female
Grace Butler,62,10/31/2002,Male
Grace Norton,49,9/26/1972,Male
Vernon McGuire,49,3/12/1980,Female
Noah Black,49,1/19/1964,Male
Rodney Bennett,32,11/2/1991,Male
Maurice Gonzales,46,8/25/1991,Male
Belle Santiago,22,1/11/1981,Female
Sally Powers,30,7/10/1974,Male
Caroline Perry,32,10/28/1985,Female
Antonio Moore,29,11/3/1994,Female
Derrick Kim,36,7/9/1984,Male
Luis Richardson,41,12/28/1978,Female
Charlie Wade,31,8/10/2003,Male
Don Harrison,33,12/4/1978,Male
Pauline Walters,51,10/4/1984,Male
Mario Munoz,22,9/25/2003,Female
Marie Oliver,47,10/21/2003,Female
Francis Moss,62,8/28/1995,Female
Vera Logan,54,2/6/1963,Female
Nicholas Wells,61,8/2/1989,Male
Richard Gardner,22,4/14/1991,Male
Patrick Rodgers,43,6/15/1971,Female
Mike Lane,63,1/31/1967,Female
Edith Rogers,52,2/6/1980,Female
Louise Jacobs,32,2/2/1993,Female
Douglas Robbins,58,1/5/1975,Male
Josephine Sutton,49,12/22/2000,Female
Jerry Norman,58,8/1/1974,Female
Myrtle Pittman,60,5/9/1971,Female
Mitchell Wong,61,8/16/1993,Male
Vera Black,56,5/31/1963,Female
Irene Kelley,29,1/17/1993,Male
Gussie Gilbert,18,3/13/1966,Female
Brett Gregory,51,9/22/1972,Female
Harry Mack,28,3/18/1983,Female
Donald Wise,49,4/26/1969,Male
Manuel Woods,65,4/9/1961,Female
Aaron Brock,34,6/24/1957,Male
Ian Gomez,56,2/23/1988,Male
Devin Garrett,20,9/9/1985,Female
Dollie Gill,34,6/23/1993,Female
Lucas Stewart,27,12/8/1975,Female
Estelle Alvarado,52,10/17/1969,Female
Delia Foster,37,5/20/1989,Female
Charlie Hart,63,6/19/1958,Male
Glen Stevens,37,6/9/1999,Female
Duane Kennedy,52,7/5/1983,Female
Lois Morales,34,5/30/1984,Male
Jose Craig,20,7/7/1977,Male
Clifford Matthews,29,9/17/1999,Male
Violet Bowen,65,7/5/1956,Female
Warren Mills,61,9/5/1981,Male
Ralph Meyer,42,8/28/1994,Female
Darrell Maxwell,43,6/23/1967,Female
Luella Price,30,4/4/1985,Female
Nellie Hayes,49,12/20/1997,Male
Daniel Bowman,48,5/12/1997,Female
Susan Jensen,50,8/28/1957,Male
Louise Diaz,54,12/16/1998,Male
Raymond Parks,37,5/17/1993,Male
Katherine Carroll,27,4/9/1966,Male
Bessie Wood,25,10/9/2002,Male
Nancy Harper,29,4/5/1966,Male
Gregory Fields,24,12/26/1958,Female
Isabelle Watts,30,2/26/1967,Female
Alan Grant,20,3/2/1972,Male
William Hubbard,21,7/11/1972,Male
Lester Bennett,20,8/6/1993,Female
Jeffrey Johnson,36,2/10/1975,Female
Ricky Glover,63,9/10/1957,Female
Cornelia Cooper,41,7/6/1967,Male
Thomas Perkins,19,2/25/1981,Female
Anthony Aguilar,62,2/2/1973,Female
Laura Copeland,34,10/31/1980,Male
Wayne Harrison,60,6/21/1978,Male
Louisa Adkins,18,7/14/1992,Female
Milton Griffin,39,4/6/1990,Female
Dylan Hopkins,35,4/15/1961,Male
Olive Nichols,29,9/8/1985,Female
Milton Pittman,31,3/24/1981,Male
Ollie Castro,29,8/9/1970,Female
Ruth Cain,27,12/8/1988,Female
Dean Young,58,11/8/1998,Female
David Castro,25,1/17/2001,Female
Eugenia Long,64,4/13/1966,Female
Allie Howell,42,6/21/1990,Male
Hettie Flores,23,12/6/1990,Female
Raymond Newman,44,12/1/1959,Male
Lucas Barton,52,7/13/1987,Female
Lawrence Webb,41,7/14/1995,Male
Randy Price,59,12/22/1964,Male
Edward Jennings,31,5/18/1958,Female
Nell Fletcher,22,9/27/1977,Male
Mike Davis,53,9/30/1993,Male
Lola Silva,49,7/19/1968,Female
Trevor Erickson,42,4/23/1966,Male
Laura Sims,63,6/2/1973,Female
Jacob Silva,26,6/4/1977,Female
Bradley Robertson,44,4/26/1977,Female
Logan Ross,37,6/10/1962,Female
Hannah Walton,32,6/22/2003,Female
Lucas Elliott,37,4/1/1990,Female
Angel Wilson,19,6/5/1976,Male
Shane Wagner,39,12/5/2000,Female
Lucille Paul,38,7/31/1985,Female
Jeffery Lee,39,4/25/1968,Female
Betty Vargas,18,4/16/1979,Male
Emilie Nash,38,5/9/1966,Female
Martin Fisher,27,5/25/1958,Female
Bessie Singleton,60,2/24/2003,Male
Garrett Morgan,40,12/27/1976,Male
Mattie Robinson,40,2/13/1968,Female
Alejandro Berry,56,8/13/1956,Female
Erik Mason,51,2/23/1979,Male
Hettie Pierce,44,12/5/1986,Female
Betty Holloway,46,2/25/1977,Male
Lillian Hubbard,64,12/29/1987,Male
Emilie Crawford,42,1/4/1978,Female
Kyle Sanders,46,9/7/1984,Male
Nancy Lynch,22,1/26/1957,Male
Jon Sanchez,40,6/7/1992,Female
Charlie Morton,40,5/4/1973,Male
Joe Waters,38,8/28/1979,Male
Clarence Sparks,43,8/27/1979,Female
Carl Blake,40,6/2/1969,Male
Adam Moss,41,9/11/1999,Male
Roy Nguyen,35,11/24/1969,Male
Jeremy Flores,65,9/30/1971,Female
Thomas Mendoza,64,2/17/1968,Female
Mamie Barker,47,11/23/1998,Female
Lottie Howell,52,4/3/1980,Female
Susan Quinn,33,10/3/1969,Female
Rosetta Campbell,41,4/15/1962,Male
Bobby Colon,54,1/2/1965,Male
Connor Stanley,34,11/1/1963,Female
Isabel Stephens,37,2/21/1991,Male
Isabel Porter,41,12/15/2001,Male
Sallie Lane,56,4/2/1999,Male
Olive Kim,52,5/30/2002,Female
Alvin Copeland,65,6/16/1979,Male
Charlotte Curry,62,9/18/1989,Male
Barry Burgess,55,5/9/1959,Male
Ernest Fox,49,5/14/2003,Female
Marc Larson,51,12/13/1966,Female
Olive Ramos,62,12/17/1975,Male
Victoria Ball,56,1/26/1970,Female
Jeff Mendez,40,10/12/1987,Male
Chad Abbott,64,9/7/1980,Male
Rosetta Vaughn,35,2/9/1973,Male
Randall Copeland,50,1/14/2000,Female
Ella Stewart,30,2/16/1967,Female
Lester Jackson,36,3/11/1995,Female
Martin Kim,39,9/8/1970,Female
Margaret Dean,28,10/3/1969,Male
James Gross,42,12/4/1985,Male
Trevor Reid,45,6/14/1967,Male
Isabella Garner,29,9/10/1980,Male
Arthur Hunt,63,2/21/1964,Female
Dylan Reeves,35,7/29/1975,Female
May Bridges,63,5/12/2002,Male
David Larson,50,3/5/1995,Female
Alejandro Barker,40,11/24/1997,Female
Johnny Berry,19,10/27/1964,Female
Leo Holt,54,7/28/1983,Male
Derrick Gross,32,8/28/1983,Male
Ryan Willis,55,2/19/1993,Male
Elva Foster,47,7/29/1993,Male
Earl Harrington,34,6/9/1956,Male
Marion Ingram,65,8/28/1979,Female
Henrietta Mitchell,61,9/9/1982,Male
Blanche Francis,46,3/23/2000,Female
Leona Kim,61,1/26/1994,Male
Cora Cook,55,9/2/1983,Male
Alberta Hill,27,1/15/1969,Female
Evan Fox,21,3/9/1984,Female
Cody Garner,26,12/13/1998,Male
Maria Gilbert,61,8/29/1973,Male
Clifford Nichols,60,5/11/1970,Male
Lucinda Simmons,20,3/15/1957,Female
Janie Carlson,42,3/18/1971,Female
Maud Farmer,38,11/30/2002,Male
Sophia Carter,40,2/3/1982,Female
Julia Daniel,28,2/7/1961,Male
Elmer Hubbard,21,12/13/1965,Female
Earl Norton,63,9/12/1969,Female
Esther Floyd,58,11/22/1988,Male
Floyd Adkins,47,8/25/1999,Female
Clarence Dennis,62,9/5/1982,Male
Elsie Stewart,53,10/6/1956,Male
Gerald Vaughn,27,6/16/1990,Female
Wayne Martinez,65,1/12/2003,Male
Addie Warner,48,9/14/1973,Female
Carolyn Evans,30,6/23/2001,Female
Pearl Curry,55,2/27/1982,Female
Eva Ruiz,38,4/24/1983,Male
Jeremy Hubbard,57,8/15/1974,Female
Sylvia Palmer,18,9/2/1993,Female
Brett Burgess,47,7/28/1973,Male
Jessie Harris,40,9/7/1971,Female
Connor Peterson,53,2/27/1975,Male
Vernon Lopez,41,10/29/1990,Male
Jesus Aguilar,61,6/21/1972,Female
Jane Leonard,46,11/26/1969,Male
